0.0	0.003771
1.0	0.001956
2.0	0.00603
3.0	3.664913e-005
4.0	0.005404
5.0	0.002523
6.0	0.00325
7.0	0.004137
8.0	0.001737
9.0	0.00249
10.0	0.007017
11.0	0.001258
12.0	0.006757
13.0	0.00074
14.0	0.007135
15.0	0.001731
16.0	0.004577
17.0	0.002148
18.0	0.006304
19.0	0.002927
20.0	0.004453
21.0	0.00155
22.0	0.003705
23.0	0.006323
24.0	0.000286
25.0	0.005866
26.0	0.004348
27.0	0.004675
28.0	0.001812
29.0	0.005667
30.0	0.004142
31.0	0.002275
32.0	0.00597
33.0	0.004835
34.0	0.001762
35.0	0.005365
36.0	0.006304
37.0	0.001964
38.0	0.003691
39.0	0.007016
40.0	0.00771
41.0	0.003641
42.0	0.003306
43.0	0.007599
44.0	0.001232
45.0	0.004147
46.0	0.004173
47.0	0.000565
48.0	0.004266
49.0	0.00745
50.0	0.003692
51.0	0.00844
52.0	0.005372
53.0	0.00876
54.0	0.010442
55.0	0.007829
56.0	0.008468
57.0	0.013476
58.0	0.015164
59.0	0.010317
60.0	0.017381
61.0	0.017167
62.0	0.022336
63.0	0.019874
64.0	0.022018
65.0	0.026417
66.0	0.026653
67.0	0.02135
68.0	0.027516
69.0	0.028808
70.0	0.022953
71.0	0.029597
72.0	0.025741
73.0	0.025305
74.0	0.020478
75.0	0.023975
76.0	0.019727
77.0	0.01587
78.0	0.018866
79.0	0.017263
80.0	0.017628
81.0	0.013472
82.0	0.008326
83.0	0.009258
84.0	0.0077
85.0	0.007243
86.0	0.010437
87.0	0.003594
88.0	0.007398
89.0	0.003896
90.0	0.002133
91.0	0.007025
92.0	0.003714
93.0	0.003218
94.0	0.003581
95.0	0.007501
96.0	0.002312
97.0	0.004867
98.0	0.006457
99.0	0.007763
100.0	0.004028
101.0	0.005773
102.0	0.001076
103.0	0.004178
104.0	0.005593
105.0	0.002808
106.0	0.001141
107.0	0.004254
108.0	0.000491
109.0	0.001807
110.0	0.002834
111.0	0.005733
112.0	0.001631
113.0	0.005124
114.0	0.005544
115.0	0.007277
116.0	0.000694
117.0	0.00227
118.0	0.003157
119.0	0.007374
120.0	0.007007
121.0	0.005637
122.0	0.002977
123.0	0.001947
124.0	0.005236
125.0	0.000894
126.0	0.003292
127.0	0.007143
128.0	0.005496
129.0	0.004927
130.0	0.004813
